key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
7L,7L-3,,546,星野　恵梨,49,A,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
8L,8L-1,,572,チョン・ヨンヒャン,51,A,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
8L,8L-2,☆アマ,,河村　明子,選手,A,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
8L,8L-3,CS,223,長縄多禧子,21,A,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
9L,9L-1,,469,安藤　瞳,43,A,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
9L,9L-2,,625,熊田菜奈海,56,A,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
9L,9L-3,,520,三浦　美里,47,A,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
10L,10L-1,S,582,中島　瑞葵,53,A,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
10L,10L-2,☆アマ,,道上　結陽,選手,A,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
10L,10L-3,,341,吉野　操,32,A,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
11L,11L-1,,617,安田明香里,56,A,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
11L,11L-2,推,534,大仲　純怜,48,A,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
11L,11L-3,,601,河村　怜奈,55,A,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
12L,12L-1,,585,清水　弘子,53,A,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
12L,12L-2,☆アマ,,竹内　芙蓉,選手,A,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
12L,12L-3,,542,小池　沙紀,49,A,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
13L,13L-1,,609,緒方　美空,55,A,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
13L,13L-2,,578,キム・ソヒョン,52,A,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
13L,13L-3,S,450,佐藤まさみ,42,A,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
14L,14L-1,,553,廣澤　一美,49,A,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
14L,14L-2,☆アマ,,今井　靖香,選手,A,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
14L,14L-3,,514,小久保実希,47,A,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
3L,3L-1,S,526,久保田彩花,48,B,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
3L,3L-2,,557,水谷　若菜,50,B,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
3L,3L-3,,451,望月　理江,42,B,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
4L,4L-1,,200,加門　満代,17,B,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
4L,4L-2,,515,坂倉にいな,47,B,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
4L,4L-3,,622,渡辺　莉央,56,B,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
5L,5L-1,,614,川田　菜摘,56,B,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
5L,5L-2,,463,岸田　有加,43,B,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
5L,5L-3,,537,岩見　彩乃,48,B,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
6L,6L-1,S,384,松永　裕美,37,B,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
6L,6L-2,☆アマ,,前野　夢來,選手,B,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
